부류,품목,12년 직접비,12년 간접비,12년 이윤,13년 직접비,13년 간접비,13년 이윤,14년 직접비,14년 간접비,14년 이윤,15년 직접비,15년 간접비,15년 이윤
식량작물,쌀,13.3,5.5,2,13.3,5.7,2.5,14,5.5,2.5,15.1,6.7,4
식량작물,콩,5.9,14.2,11.3,6.4,17.8,14,7.2,18.3,14.9,7.5,14.5,13.9
식량작물,봄감자,11.9,15.3,38,14.4,9.7,37.1,15.9,15.9,30.9,12.8,17.2,27.8
식량작물,고랭지감자,13.9,28.6,20.9,13.9,28.6,20.9,21.4,7.8,32.7,21.4,7.8,32.7
식량작물,가을감자,16.1,11.4,24.4,16.1,11.4,24.4,18.3,11,24,18.3,11,24
식량작물,고구마,13.8,18.9,27,13.8,18.9,27,21,10.3,39.3,21,10.3,39.3
엽근채소류,봄배추,25.8,11.1,26.2,23.6,11.8,26,35.9,10.4,18.8,26.2,13.4,22
엽근채소류,고랭지배추,31.9,13.7,25.7,27.4,13.7,30.7,32.7,10.8,24.2,35.3,11.1,22.8
엽근채소류,가을배추,30.8,12.9,22.6,33.8,12.1,21.7,41.6,13.2,14.9,38.1,13.3,20
엽근채소류,봄무,37.7,14.2,14.8,26.8,12.7,27.5,42,11.8,7.8,32.2,12.3,24.6
엽근채소류,고랭지무,28,11.7,33.6,27.9,12.1,32,31.8,10.7,30.2,31.3,12.6,25.3
엽근채소류,가을무,28.7,12.6,22.4,37.9,11.4,19.2,39.7,11.2,18.7,38.8,14.2,16
엽근채소류,상추,16.9,27.6,18.3,-,-,-,-,-,-,-,-,-
엽근채소류,당근,21.2,11.7,25.7,-,-,-,-,-,-,-,-,-
엽근채소류,월동배추,-,-,-,29.4,11.4,24.8,36.5,9.7,22,43.1,11.1,15.3
엽근채소류,월동무,-,-,-,42.2,10,11.4,51.7,9.9,8.4,49.6,11,9.5
과채류,수박,11.2,14.9,10.6,12,15.6,6.7,14,15.6,4.4,14,17.9,5
과채류,참외,13.3,12.5,15.8,14.8,12.3,15.1,14.8,12.2,15.2,17,13.5,11.2
과채류,오이,11.4,12.8,20.3,13.9,13.8,17.8,15.8,13.7,16.2,15.4,11.7,7.2
과채류,방울토마토,10.4,11.3,27.6,14.9,12.3,16.4,14.9,12.3,16.4,13,14.6,12.4
과채류,딸기,18.2,15,6.9,22.5,12.5,6.3,22.5,12.5,6.3,19.9,15.3,4.5
조미채소류,풋고추,8.7,9.7,26.7,-,-,-,-,-,-,-,-,-
조미채소류,건고추,6.9,15.3,3.8,8.7,13.9,12.8,8.2,14.2,10.2,8.6,18.1,10
조미채소류,난지형마늘,23.5,13.2,16.1,23.6,10.9,23.1,26,10.3,25.5,22.3,14.2,15.3
조미채소류,한지형마늘,14.9,15.3,13.8,-,-,-,-,-,-,-,-,-
조미채소류,저장마늘,29.2,14.9,8.1,-,-,-,-,-,-,-,-,-
조미채소류,양파,28.8,10.9,31.1,28,13.8,26.6,50.8,10.8,15.6,33.5,15.8,14.5
조미채소류,저장양파,45.9,15.3,15.3,-,-,-,-,-,-,-,-,-
조미채소류,대파,27.3,17.7,24.2,-,-,-,-,-,-,-,-,-
조미채소류,생강,5.9,14.2,14,-,-,-,-,-,-,-,-,-
과일류,사과,11.5,15.1,16.3,12.8,14.3,16.1,12.8,14.7,15.1,14.4,14.8,18.2
과일류,저장사과,19.2,22.9,14.4,-,-,-,-,-,-,-,-,-
과일류,배,15,14.6,17.2,17.5,14.6,14.7,19.4,14.3,15.6,19.1,14.4,12.8
과일류,저장배,24.2,23.7,10.2,-,-,-,-,-,-,-,-,-
과일류,단감,22.8,15,14.7,22.8,15,14.7,29,14.5,19.2,29,14.5,19.2
과일류,포도,16.1,15,9.1,16.1,15,9.1,20.4,15,11.5,25,15.6,17.4
과일류,감귤,21.1,14.2,18.9,20.6,14.1,19.3,21.7,14.1,18.6,25,15.6,17.4
과일류,복숭아,14.5,14.7,7.7,14.5,14.7,7.7,15.3,14.2,7.8,15.3,14.2,7.8
화훼류,장미,23.4,19.6,12.4,26,17.6,11.9,26,17.6,11.9,17.4,13.7,25.9
화훼류,국화,23.1,17.9,8.7,23.5,19.1,9.6,23.5,19.1,9.6,19.8,14.8,20
축산부류,쇠고기,5.1,20.6,19.5,5.8,25.2,14.4,7.1,15.3,19.4,9.6,12.9,19
축산부류,돼지고기,8.4,18.4,16.5,10.3,24.6,9.3,13.7,17.6,14.3,8.4,18.9,14.7
축산부류,닭고기,15.1,16.9,24.7,10.9,27.9,19.6,12.8,16.3,19.6,17.4,16.8,16
축산부류,계란,17.5,19.9,9.4,13.1,23.8,15.9,15.6,14,18,14.1,19.5,13.1
